,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Name,Price,Province,Rating,Region,Subregion,User Avg Rating,Variety,Vintage,Winery
354,14.9%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      This wine from a special spot in the producer's Endeavour Vineyard is brambly in black cherry, blackberry and mocha. Structured, integrated and soft in tannins, it shows a touch of grip around a core of lush fruit and black pepper.                      Virginie Boone ",Spencer's Hill Vineyard Estate,Dry Creek Vineyard 2016 Spencer's Hill Vineyard Estate Zinfandel (Dry Creek Valley),$44, California,94, Sonoma,Dry Creek Valley,Not rated yet [Add Your Review],Zinfandel,2016,Dry Creek Vineyard
355,14.7%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      This wine includes small amounts of Peloursin, Negrette, Syrah, Petite Sirah and Carignan, showing the diversity of the historic site. A bright cherry tone mixes with tar and baking spice, with a firm weight and structured tannins that center around a chewy, grippy finish.                      Virginie Boone ",Estate Grown,Limerick Lane 2017 Estate Grown Zinfandel (Russian River Valley),$42, California,94, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2017,Limerick Lane
356,15.2%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      Dusty sage, earth and leather exude out of 100-plus-year-old vines from this famous dry-farmed site in the heart of the appellation. The fruit is intensely brambly and feral, a mix of blackberry, black cherry and dark fig with dustings of cocoa powder and clove.                      Virginie Boone ",Fanucchi-Wood Road Vineyard Old Vine,Hartford 2018 Fanucchi-Wood Road Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,94, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2018,Hartford
357,14.6%,"Mendocino County, Mendocino County, California, US",750 ml,Red, US,9/1/2020,"
                      This spicy and impressively concentrated wine is built for a rich meal. Cinnamon, nutmeg and black-plum aromas lead to deep, layered and focused flavors of black fruits and tamarind. Plenty of fine-grained tannins add structure for aging. Best through 2027.                      Jim Gordon ",Cox Reserve Old Vine,Carol Shelton 2017 Cox Reserve Old Vine Zinfandel (Mendocino County),$28, California,93, Mendocino County,Mendocino County,Not rated yet [Add Your Review],Zinfandel,2017,Carol Shelton
358,13.9%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      Blended with 12% Petite Sirah and 2% Alicante Bouschet, this red is built by sinewy tannins and flavors of baking spice, dried herb, currant and oak. The medium-bodied frame is lifted by tart orange and raspberry flavors.                      Virginie Boone ",Four Clones Vineyard DCV2 Estate,Dry Creek Vineyard 2017 Four Clones Vineyard DCV2 Estate Zinfandel (Dry Creek Valley),$44, California,93, Sonoma,Dry Creek Valley,Not rated yet [Add Your Review],Zinfandel,2017,Dry Creek Vineyard
359,14.75%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      The producer's only non-estate wine, this hails from some tremendous grower sites, including Faloni, Buchignani and Montecillo. It excels in thick tannins and black pepper, leather and black currant. It offers plenty of structure and intensity, with balanced ripeness and a lasting taste of sweet oak.                      Virginie Boone ",,Mauritson 2017 Zinfandel (Dry Creek Valley),$40, California,93, Sonoma,Dry Creek Valley,Not rated yet [Add Your Review],Zinfandel,2017,Mauritson
360,16.5%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,9/1/2020,"
                      This historic vineyard showcases Zinfandel in its best light, beginning with aromas of black cherry, cola, herbs and a clay-like minerality. The palate is complex in both the chalky texture and the array of flavors, running from blueberry and fig to tobacco and a long spicy finish.                      Matt Kettmann ",Dusi Vineyard Cavern Select,Robert Hall 2017 Dusi Vineyard Cavern Select Zinfandel (Paso Robles),$42, California,93, Central Coast,Paso Robles,Not rated yet [Add Your Review],Zinfandel,2017,Robert Hall
361,15.3%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      This appellation wine comes from a blend of five vineyard-designated sites, all old vine, dry farmed and low yielding. Velvety and expansive on the palate, it has broad appeal in its rich density of cherry, strawberry and fleshy texture. Supple tannins and integrated oak allow a finishing touch of white pepper.                      Virginie Boone ",Old Vine,Hartford 2018 Old Vine Zinfandel (Russian River Valley),$38, California,93, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2018,Hartford
362,14.5%,"Shenandoah Valley (CA), Sierra Foothills, California, US",750 ml,Red, US,9/1/2020,"
                      Extremely focused and concentrated fruit flavors light up this terrific wine. It's full bodied and lively textured, and was fermented on native yeast and aged in non-new barrels. Bright raspberry and rich blackberry mingle nicely, accented lightly with baking spices.                      Jim Gordon ",The Native Estate,Amador Cellars 2017 The Native Estate Zinfandel (Shenandoah Valley (CA)),$35, California,93, Sierra Foothills,Shenandoah Valley (CA),Not rated yet [Add Your Review],Zinfandel,2017,Amador Cellars
363,16%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,9/1/2020,"
                      Head-trained old vines give this wine substantial concentration and a soft fleshy core of lush dark-berry fruit. Nutmeg and black pepper give it a contrast of savory and sweet seasoning wrapped in well-integrated oak.                      Virginie Boone ",Jolene's Vineyard Old Vine,Hartford 2018 Jolene's Vineyard Old Vine Zinfandel (Russian River Valley),$60, California,93, Sonoma,Russian River Valley,Not rated yet [Add Your Review],Zinfandel,2018,Hartford
